name,expression,delay,decay,truncation,neutralization,pasteurization,nanHandling
r30d_j236_gz,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), industry)",1,12,0.01,NONE,ON,ON
r30d_j236_skew180_5to1,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r30d_j236_gz_skew180_5to1,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), industry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r30d_j236_gz_skew180_10to1,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), industry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + a + a + a + a + a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r30d_skew90_3to1,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_90, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r30d_skew360_3to1,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_360, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r30d_skew180_2to1,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r30d_skew180_4to1,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r30d_skew180_rev_5leg,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); r5 = ts_mean(returns, 5); c = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + a + b + c, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r30d_ebitda_np_skew180,"ey = ts_backfill(anl4_ebitda_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r30d_j236_gz_subind,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry)",1,12,0.01,NONE,ON,ON
r30d_j236_gz_skew90_5to1,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), industry); k = ts_mean(implied_volatility_mean_skew_90, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,ON,ON
