name,expression,decay,truncation,neutralization,nan_handling
r17_three_skew180,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r17_three_skew30,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_30, 60); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r17_weight_2_1,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 10); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); group_zscore(winsorize(a + a + b, std=3.0), industry)",16,0.02,NONE,ON
r17_term_20_180,"t = implied_volatility_mean_20 / implied_volatility_mean_180; c = ts_mean(rel_ret_comp, 10); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); group_zscore(winsorize(a + b, std=3.0), industry)",16,0.02,NONE,ON
r17_faster,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); group_zscore(winsorize(a + b, std=3.0), industry)",16,0.02,NONE,ON
r17_three_fast,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 5); k = ts_mean(implied_volatility_mean_skew_180, 10); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r17_subindustry,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 10); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), subindustry); b = group_zscore(winsorize(c, std=3.0), subindustry); group_zscore(winsorize(a + b, std=3.0), subindustry)",16,0.02,NONE,ON
r17_add_pcr,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 10); p = ts_mean(pcr_oi_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(p, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r17_rel_ret_all,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_all, 10); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); group_zscore(winsorize(a + b, std=3.0), industry)",16,0.02,NONE,ON
r17_decay12,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 10); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); group_zscore(winsorize(a + b, std=3.0), industry)",12,0.02,NONE,ON
r17_decay24,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 10); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); group_zscore(winsorize(a + b, std=3.0), industry)",24,0.02,NONE,ON
