name,expression,decay,truncation,neutralization,nan_handling
r21_w311,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r21_w221,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + b + d, std=3.0), industry)",16,0.02,NONE,ON
r21_w212,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d + d, std=3.0), industry)",16,0.02,NONE,ON
r21_equal,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r21_term7,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 7), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r21_term15,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 15), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r21_skew270,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_270, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r21_skew180,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r21_k10,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 10); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r21_t1060,"t = implied_volatility_mean_10 / implied_volatility_mean_60; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r21_comp15,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 15); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
