name,expression,decay,truncation,neutralization,nan_handling
r28_m16_composite,"group_zscore(winsorize(ts_mean(composite_factor_score_derivative, 20), std=3.0), industry)",16,0.02,NONE,ON
r28_m16_acceleration,"group_zscore(winsorize(ts_mean(multi_factor_acceleration_score_derivative, 20), std=3.0), industry)",16,0.02,NONE,ON
r28_m16_static,"group_zscore(winsorize(ts_mean(multi_factor_static_score_derivative, 20), std=3.0), industry)",16,0.02,NONE,ON
r28_m16_analyst_rev,"group_zscore(winsorize(ts_mean(analyst_revision_rank_derivative, 20), std=3.0), industry)",16,0.02,NONE,ON
r28_m16_earnings_cert,"group_zscore(winsorize(ts_mean(earnings_certainty_rank_derivative, 20), std=3.0), industry)",16,0.02,NONE,ON
r28_m16_growth,"group_zscore(winsorize(ts_mean(growth_potential_rank_derivative, 20), std=3.0), industry)",16,0.02,NONE,ON
r28_m16_cashflow_eff,"group_zscore(winsorize(ts_mean(cashflow_efficiency_rank_derivative, 20), std=3.0), industry)",16,0.02,NONE,ON
r28_m16_rel_val,"group_zscore(winsorize(ts_mean(relative_valuation_rank_derivative, 20), std=3.0), industry)",16,0.02,NONE,ON
r28_m16_composite_sub,"group_zscore(winsorize(ts_mean(composite_factor_score_derivative, 20), std=3.0), subindustry)",16,0.02,NONE,ON
r28_m16_acceleration_sub,"group_zscore(winsorize(ts_mean(multi_factor_acceleration_score_derivative, 20), std=3.0), subindustry)",16,0.02,NONE,ON
