name,expression,decay,truncation,neutralization,nan_handling,universe,delay
r20_sweep_3000_d0,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON,TOP3000,0
r20_sweep_1000_d1,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON,TOP1000,1
r20_sweep_1000_d0,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON,TOP1000,0
r20_sweep_sp500_d1,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON,TOPSP500,1
r20_sweep_sp500_d0,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON,TOPSP500,0
r20_sweep_200_d1,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON,TOP200,1
r20_sweep_200_d0,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON,TOP200,0
r20_fast_term,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON,TOP3000,1
r20_raw_comp,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = rel_ret_comp; k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON,TOP3000,1
r20_raw_skew,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = implied_volatility_mean_skew_360; a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON,TOP3000,1
r20_fast_term_trunc05,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 5), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.05,NONE,ON,TOP3000,1
