name,expression,decay,truncation,neutralization,nan_handling
r23_skewspread_flip,"q = implied_volatility_mean_skew_360 - implied_volatility_mean_skew_30; group_zscore(winsorize(-ts_mean(q, 20), std=3.0), industry)",16,0.02,NONE,ON
r23_term_sys_skew,"t = implied_volatility_mean_10 / implied_volatility_mean_60; y = systematic_risk_last_30_days / systematic_risk_last_360_days; k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); g = group_zscore(winsorize(-ts_mean(y, 20), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + g + d, std=3.0), industry)",16,0.02,NONE,ON
r23_term_sys_skew_eq,"t = implied_volatility_mean_10 / implied_volatility_mean_60; y = systematic_risk_last_30_days / systematic_risk_last_360_days; k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); g = group_zscore(winsorize(-ts_mean(y, 20), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + g + d, std=3.0), industry)",16,0.02,NONE,ON
r23_term_sys,"t = implied_volatility_mean_10 / implied_volatility_mean_60; y = systematic_risk_last_30_days / systematic_risk_last_360_days; a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); g = group_zscore(winsorize(-ts_mean(y, 20), std=3.0), industry); group_zscore(winsorize(a + a + g, std=3.0), industry)",16,0.02,NONE,ON
r23_term_comp_sys_skew,"t = implied_volatility_mean_10 / implied_volatility_mean_60; c = ts_mean(rel_ret_comp, 10); y = systematic_risk_last_30_days / systematic_risk_last_360_days; k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); g = group_zscore(winsorize(-ts_mean(y, 20), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d + g, std=3.0), industry)",16,0.02,NONE,ON
r23_term_skewspread,"t = implied_volatility_mean_10 / implied_volatility_mean_60; q = implied_volatility_mean_skew_360 - implied_volatility_mean_skew_30; a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); h = group_zscore(winsorize(-ts_mean(q, 20), std=3.0), industry); group_zscore(winsorize(a + a + h, std=3.0), industry)",16,0.02,NONE,ON
r23_sys_skewspread,"y = systematic_risk_last_30_days / systematic_risk_last_360_days; q = implied_volatility_mean_skew_360 - implied_volatility_mean_skew_30; g = group_zscore(winsorize(-ts_mean(y, 20), std=3.0), industry); h = group_zscore(winsorize(-ts_mean(q, 20), std=3.0), industry); group_zscore(winsorize(g + h, std=3.0), industry)",16,0.02,NONE,ON
r23_sys_sent,"y = systematic_risk_last_30_days / systematic_risk_last_360_days; s = scl12_sentiment; g = group_zscore(winsorize(-ts_mean(y, 20), std=3.0), industry); m = group_zscore(winsorize(-ts_mean(s, 20), std=3.0), industry); group_zscore(winsorize(g + m, std=3.0), industry)",16,0.02,NONE,ON
r23_sys_buzz,"y = systematic_risk_last_30_days / systematic_risk_last_360_days; z = ts_mean(scl12_buzz, 20) / ts_mean(scl12_buzz, 120); g = group_zscore(winsorize(-ts_mean(y, 20), std=3.0), industry); n = group_zscore(winsorize(-z, std=3.0), industry); group_zscore(winsorize(g + n, std=3.0), industry)",16,0.02,NONE,ON
r23_sys_sent_buzz,"y = systematic_risk_last_30_days / systematic_risk_last_360_days; s = scl12_sentiment; z = ts_mean(scl12_buzz, 20) / ts_mean(scl12_buzz, 120); g = group_zscore(winsorize(-ts_mean(y, 20), std=3.0), industry); m = group_zscore(winsorize(-ts_mean(s, 20), std=3.0), industry); n = group_zscore(winsorize(-z, std=3.0), industry); group_zscore(winsorize(g + m + n, std=3.0), industry)",16,0.02,NONE,ON
r23_sys_park,"y = systematic_risk_last_30_days / systematic_risk_last_360_days; pk = parkinson_volatility_30 / historical_volatility_30; g = group_zscore(winsorize(-ts_mean(y, 20), std=3.0), industry); o = group_zscore(winsorize(-ts_mean(pk, 20), std=3.0), industry); group_zscore(winsorize(g + o, std=3.0), industry)",16,0.02,NONE,ON
