name,expression,decay,truncation,neutralization,nan_handling
r19_t1090_skew360,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r19_t1090_termdbl_skew360,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r19_t1090_termdbl,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r19_t1060_skew180,"t = implied_volatility_mean_10 / implied_volatility_mean_60; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r19_t1090_smooth10,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r19_t1090_comp5,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 5); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r19_t2090_skew180,"t = implied_volatility_mean_20 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r19_t10120_skew180,"t = implied_volatility_mean_10 / implied_volatility_mean_120; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r19_t1090_skew270,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_270, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r19_t1090_comp20,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 20); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r19_t1090_skew180_pcr,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); p = ts_mean(pcr_oi_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); e = group_zscore(winsorize(p, std=3.0), industry); group_zscore(winsorize(a + b + d + e, std=3.0), industry)",16,0.02,NONE,ON
