name,expression,decay,truncation,neutralization,nan_handling
r24_p_rev5,"r5 = ts_mean(returns, 5); group_zscore(winsorize(-r5, std=3.0), industry)",16,0.02,NONE,ON
r24_p_mom120,"m = ts_mean(returns, 120); group_zscore(winsorize(m, std=3.0), industry)",16,0.02,NONE,ON
r24_p_52wh,"w = close / ts_max(high, 250); group_zscore(winsorize(w, std=3.0), industry)",16,0.02,NONE,ON
r24_p_voltrend,"v = ts_mean(volume, 20) / ts_mean(volume, 120); group_zscore(winsorize(-v, std=3.0), industry)",16,0.02,NONE,ON
r24_p_range,"g = ts_mean((high - low) / close, 20); group_zscore(winsorize(-g, std=3.0), industry)",16,0.02,NONE,ON
r24_term_rev,"t = implied_volatility_mean_10 / implied_volatility_mean_60; r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + p, std=3.0), industry)",16,0.02,NONE,ON
r24_term_comp_rev,"t = implied_volatility_mean_10 / implied_volatility_mean_60; c = ts_mean(rel_ret_comp, 10); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + b + p, std=3.0), industry)",16,0.02,NONE,ON
r24_term_skew_rev,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_360, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",16,0.02,NONE,ON
r24_sys_rev,"y = systematic_risk_last_30_days / systematic_risk_last_360_days; r5 = ts_mean(returns, 5); g = group_zscore(winsorize(-ts_mean(y, 20), std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(g + p, std=3.0), industry)",16,0.02,NONE,ON
r24_term_52wh,"t = implied_volatility_mean_10 / implied_volatility_mean_60; w = close / ts_max(high, 250); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); u = group_zscore(winsorize(w, std=3.0), industry); group_zscore(winsorize(a + a + u, std=3.0), industry)",16,0.02,NONE,ON
r24_term_rev_52wh,"t = implied_volatility_mean_10 / implied_volatility_mean_60; r5 = ts_mean(returns, 5); w = close / ts_max(high, 250); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); u = group_zscore(winsorize(w, std=3.0), industry); group_zscore(winsorize(a + a + p + u, std=3.0), industry)",16,0.02,NONE,ON
