name,expression,delay,decay,truncation,neutralization,pasteurization,nanHandling
r30c_skew90_3to1_poff,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_90, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,OFF,ON
r30c_skew360_3to1_poff,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_360, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,OFF,ON
r30c_skew180_2to1_poff,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b, std=3.0), industry)",1,12,0.01,NONE,OFF,ON
r30c_skew180_4to1_poff,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,OFF,ON
r30c_ivterm_3to1_poff,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); t = implied_volatility_mean_10 / implied_volatility_mean_60; b = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,OFF,ON
r30c_skew180_rev_3to1_poff,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); r5 = ts_mean(returns, 5); c = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + a + b + c, std=3.0), industry)",1,12,0.01,NONE,OFF,ON
r30c_skew180_3to1_poff_d16,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,16,0.01,NONE,OFF,ON
r30c_skew180_3to1_poff_d8,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,8,0.01,NONE,OFF,ON
r30c_skew180_3to1_poff_trunc02,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,12,0.02,NONE,OFF,ON
r30c_skew180_3to1_poff_lb150,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 150), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,OFF,ON
r30c_skew180_3to1_poff_smooth10,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 10), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",1,12,0.01,NONE,OFF,ON
r30c_skew180_3to1_poff_subind,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; a = group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry); k = ts_mean(implied_volatility_mean_skew_180, 20); b = group_zscore(winsorize(k, std=3.0), subindustry); group_zscore(winsorize(a + a + a + b, std=3.0), subindustry)",1,12,0.01,NONE,OFF,ON
